app_id,name,price,positive,negative
316180,"A City Sleeps™",9.99,53,42
1225040,"A Mysterious Gallery",6.99,2,0
2080130,"A Quest That Became Legend",29.99,74,14
2858150,"Airships: Lost Flotilla",8.99,176,18
573270,"Alcatraz: VR Escape Room",4.99,27,6
672100,"An Occasional Dream",2.99,8,0
984800,"Automachef",14.99,622,241
373120,"Bernie Needs Love",2.99,11,14
2921430,"black out.",2.99,1,0
2586170,"Blob Life",5.99,5,3
2563760,"BMX Bastards",16.99,53,3
1533970,"Break It Down",2.99,1,5
935910,"Brrrainz: Feed your Hunger",5.99,10,5
698910,"Cliffstone Manor",1.99,28,7
1532920,"Clutter IX: Clutter IXtreme",9.99,17,0
1746530,"Confessions at Candlewood Lake",6.99,3,8
351920,"Crazy Machines 3",9.99,9350,554
1619350,"DeepStates [VR]",11.99,79,9
2501600,"DICEOMANCER",14.99,4567,129
3162840,"Dragon Assault",0.99,2,0
296870,"Dreaming Sarah",5.99,2550,258
3311730,"Dreamland Farm",9.99,1,0
3149850,"Fated Land",14.99,31,12
2150460,"Fisher's Qualm",2.99,2,1
2510950,"Fly Caster - VR Fly Fishing",14.99,7,1
718970,"Gone Astray",0.99,8,6
2157920,"Haunted: Attack of the Dead Men",11.99,13,2
2587030,"Hellgineers",4.99,21,0
2093640,"Hook&Loop - The VELKRO Man",9.99,16,2
1395830,"Hoplegs",17.99,70,7
573790,"Imperium Galactica",4.99,124,11
1341160,"Infinite Tournament Paintball",14.99,359,61
2342980,"It Comes In Waves",2.99,276,12
2410420,"KIDNEY STONE Clicker",3.40,2,2
402620,"Kindred Spirits on the Roof",34.99,1317,43
2330210,"Labrys",6.99,48,17
1972970,"Late photographer 4",1.99,29,12
1400480,"Lost Gems",6.99,5,0
536780,"Lost Grimoires: Stolen Kingdom",14.99,230,38
2344580,"Meeple Jump",4.99,4,0
822840,"METAL",7.99,0,1
2327250,"Metal Ape",3.99,5,1
1518320,"Minesweeper Versus",5.99,5,0
1400200,"Mystery Case Files: The Harbinger Collector's Edition",19.99,12,8
829370,"Nicky - The Home Alone Golf Ball",0.99,31,5
292000,"No More Room in Hell 2",29.99,7885,8630
1011070,"Nomads of the Fallen Star",12.99,26,11
2025610,"Once Again",3.99,850,77
1325470,"Pianistic",1.99,230,35
688130,"Pogostuck: Rage With Your Friends",6.99,5105,998
2598800,"Psionic Sentry : Infinite",4.99,124,14
1397160,"Pulut Adventure RPG",5.99,10,2
636170,"Reaching for Petals",4.99,147,49
674250,"Resurgence: Earth United",2.99,22,6
1330010,"RetroBound",0.99,2,1
1127230,"Shooting Blaster Big Bang Boom",4.99,4,0
3113510,"Skidaddle Skidoodle",29.99,91,10
2376140,"Space Captain McCallery - Episode 4: The Turquoise Temple",4.99,4,0
2765140,"Super Puzzle Blasters",4.99,3,0
1446690,"Super Ultimatum Quiz",4.99,9,5
3122570,"Swine's Revenge",6.99,1,1
581630,"Sword With Sauce",4.99,5527,871
2095460,"TASUKEMONO",7.99,14,1
3125910,"The Mightiest Sword is Mine!",2.99,4,2
1146100,"The Rising of the Shield Hero : Relive The Animation",15.99,204,65
1588560,"The Swordsmen X: Survival",34.99,152,419
3045000,"Tile To Tile",1.99,2,0
2448830,"Time Handlers",13.99,9,3
972910,"Timore 6",9.99,32,7
3169610,"VR Iron Fist Guardian",3.99,6,0
1084790,"WarPlan",39.99,162,39
2923900,"Wayfarer",1.99,2,1
2322520,"World League Baseball",14.99,54,21
1096540,"XMagicTyping",1.73,14,14
2534060,"Xonix Casual Edition",6.99,11,5
754800,"Yashik",4.99,43,36
1332630,"Zombeer: Delivery Mission",1.99,8,4
2004220,"异世界杂货铺 skyscraper in Another world",5.99,18,2
3401830,"炎の料理人クッキングファイター好",10.99,4,1
1971100,"絶叫死人（Zombie Scream）",5.99,30,10
